id,label
u17461978,human
u1297437077403885568,bot
u17685258,human
u15750898,human
u1659167666,bot
u34743251,human
u27260086,human
u57097104,human
u1297609266623217664,bot
u207809313,human
u24212655,human
u1485029462,human
u105297123,human
u849880970,bot
u15764644,human
u2463494166,human
u39555442,bot
u480604244,bot
u764941707133812736,bot
u23022687,human
u90868268,bot
u14230524,human
u726414091,human
u236699098,human
u939091,human
u1280688197068972033,bot
u177673457,human
u558797310,human
u208120290,human
u5402612,human
u1134552730146500608,human
u1141136372,human
u14108472,human
u783214,human
u169686021,human
u30180137,human
u58579942,human
u1447949844,human
u812362585332912128,human
u2353605901,human
u22703645,human
u36196023,bot
u2421067430,bot
u84078498,human
u23527603,bot
u2293315159,human
u237824268,human
u1150826920394788864,bot
u19570960,bot
u78523300,human
u345811633,bot
u1279851861370077184,bot
u941304403054727169,human
u246500501,human
u247653244,human
u1111940934,human
u21536398,human
u54885400,human
u91478624,human
u255388236,human
u16303106,human
u3171712086,human
u1276374102,bot
u197881715,human
u3268042182,bot
u22203756,human
u1539495661,bot
u2965511647,human
u23765365,human
u1292827583416078336,bot
u299456906,bot
u375721095,bot
u30354991,human
u1214658897325281280,human
u170861207,human
u1115977467951501313,human
u1945909922,human
u1297520167967248384,bot
u50115087,human
u127117223,human
u462822954,bot
u3995778614,human
u1960613304,human
u27860702,human
u1295157751841280001,bot
u1287626469712121856,human
u306642753,human
u3138637447,human
u1032805565796311040,bot
u870825202678157312,human
u56774483,human
u18560271,human
u428377986,human
u106448460,human
u205392468,human
u843514885644271616,bot
u24578794,human
u39349894,human
u48223726,human
u56321478,bot
u1226928204805328897,human
u12550682,bot
u57289662,human
u807095,human
u428185684,bot
u270109981,bot
u861598125772951552,bot
u1196816405779361793,human
u2510356369,human
u334715818,human
u1297890577040773121,human
u531615634,bot
u287884272,human
u26565946,human
u19725644,human
u497052651,bot
u14499829,human
u1063519736607268872,human
u1117820648716480512,bot
u523248016,bot
u45828171,human
u22841103,human
u25127156,bot
u18139497,bot
u15515169,human
u21447363,human
u34430522,human
u273452117,human
u1108472017144201216,human
u216935219,bot
u471741741,human
u50393960,human
u1094649075021107200,bot
u818928162449068032,human
u422201803,human
u894527124,bot
u29458079,human
u272395158,human
u1268970789883314180,bot
u38495835,human
u39344374,human
u43017766,human
u18180495,bot
u3420965229,human
u140750163,human
u18462058,bot
u722586421622611968,bot
u14982804,human
u786309892990574592,human
u19739126,human
u1066820433721331714,human
u151123001,human
u40793905,bot
u885487044243238912,human
u528999980,bot
u788752007246905344,human
u450235955,bot
u15254807,human
u913308968809672705,bot
u18080969,human
