# t 1
node_1,node_2
96269,184024
96269,177080
96269,138709
96269,107602
96269,94651
96269,100138
96269,162312
96269,3492
96269,147959
96269,148854
62207,123177
62207,173025
62207,193783
62207,71116
62207,187522
62207,183829
62207,121229
62207,120194
62207,108528
62207,79653
62207,161642
62207,60480
62207,193201
62207,22682
62207,9180
62207,132501
62207,106880
62207,49462
62207,199751
62207,114147
37603,112935
37603,172629
37603,169689
37603,110497
37603,123826
37603,158944
37603,134854
37603,179586
37603,34565
37603,102912
37603,107221
37603,37284
37603,113751
37603,109428
37603,109669
37603,89956
37603,202249
37603,189281
37603,115377
37603,65909
88037,193939
88037,139405
88037,104120
88037,76038
88037,30658
88037,52809
88037,36967
88037,28362
88037,172537
88037,99648
88037,141442
88037,6408
88037,1120
88037,153243
88037,28628
88037,88524
88037,122291
88037,58649
88037,7709
88037,37441
157490,35253
157490,168439
157490,191369
157490,180600
157490,76401
157490,52229
157490,178478
157490,63824
157490,7853
157490,11042
157490,23789
157490,2470
157490,46455
157490,130091
158287,39123
158287,109128
158287,90298
158287,82990
158287,103334
158287,121547
158287,118617
158287,40320
158287,165548
158287,175635
158287,167167
158287,130470
158287,9241
191709,179464
191709,169124
191709,128514
191709,132948
191709,133752
191709,107986
191709,41867
191709,93642
191709,105010
191709,45087
191709,16544
191709,170005
191709,5138
191709,84006
191709,56623
191709,97335
191709,11277
191709,205441
191709,136175
191709,51568
71504,150453
71504,190951
71504,108640
71504,97919
71504,5713
71504,33131
71504,155773
71504,154021
71504,91094
71504,168571
71504,169571
71504,105453
71504,123603
71504,55578
71504,153166
71504,59678
71504,158553
71504,195375
71504,185474
71504,84452
12548,21437
12548,90192
12548,155998
12548,81233
12548,29476
12548,58653
12548,95108
12548,69242
12548,141247
12548,44443
12548,45611
12548,63626
12548,16901
12548,151847
12548,69524
12548,200406
12548,497
12548,130155
12548,149072
12548,154700
128925,192272
128925,52344
128925,127773
128925,64358
128925,28491
128925,134470
128925,94513
128925,179923
128925,36363
128925,155931
128925,11269
128925,47782
128925,1089
128925,26252
62875,100022
62875,94389
62875,182415
62875,106634
62875,120696
62875,65017
62875,111959
62875,16323
62875,57494
62875,182700
62875,114363
62875,123331
62875,34700
62875,28758
62875,159879
62875,168355
62875,172147
62875,102947
62875,148132
62875,125270
191968,200955
191968,32562
191968,180368
191968,92737
191968,141406
191968,129521
191968,45983
191968,5088
191968,104393
191968,16187
191968,128396
191968,103647
191968,37279
191968,71817
191968,197767
191968,51570
191968,173558
191968,138206
191968,160236
191968,46828
41781,128664
41781,52762
41781,171927
41781,119960
41781,69079
41781,103546
41781,79012
41781,105101
41781,122178
41781,192469
41781,201365
41781,8795
41781,165760
41781,84517
41781,49536
41781,70122
41781,46633
41781,138677
41781,71565
41781,40014
146542,70697
146542,119339
146542,94651
146542,52714
146542,47302
146542,156045
146542,48152
146542,107602
146542,41364
146542,142394
146542,144901
146542,23566
19521,14049
19521,2091
19521,126958
19521,66796
19521,25013
19521,19455
19521,176683
19521,62207
19521,95324
19521,172564
19521,37227
19521,43107
19521,49344
19521,153178
19521,67944
19521,147137
19521,56769
19521,32571
19521,42232
19521,127791
173817,170518
173817,168
173817,160549
173817,168670
173817,11362
173817,172564
173817,104531
173817,107602
173817,114575
173817,116335
173817,37573
173817,168
13057,47976
13057,134119
13057,100591
13057,198109
13057,113127
13057,72215
13057,138445
13057,11783
13057,199217
13057,51656
13057,178874
13057,104568
13057,20256
13057,75645
13057,200225
13057,166669
13057,178373
13057,171120
13057,116067
13057,96111
185559,96945
185559,130527
185559,108290
185559,51895
185559,190273
185559,3045
185559,181175
185559,99179
185559,23142
185559,169557
185559,136410
185559,122669
185559,143545
185559,193149
185559,141472
185559,23460
185559,92849
185559,120504
185559,3010
185559,123638
162930,93500
162930,182331
162930,111628
162930,93688
162930,203685
162930,138636
162930,155500
162930,166962
162930,46629
162930,134526
162930,20956
162930,151786
162930,163835
162930,175990
162930,45596
162930,185154
162930,180630
162930,193881
162930,76330
162930,127998
159064,143977
159064,39570
