node_1,node_2
145340,181755
145340,127847
145340,69680
145340,142067
145340,73058
145340,190594
145340,172357
145340,162423
145340,44201
145340,7462
171853,7303
171853,9396
171853,25890
171853,201087
171853,189027
171853,14030
171853,25113
171853,61048
171853,163089
171853,45057
171853,83504
171853,33331
171853,27459
171853,184319
171853,41410
171853,71574
171853,191984
171853,114136
171853,119707
171853,36037
10201,92089
10201,159747
10201,83879
10201,109098
10201,130616
10201,189618
10201,32426
10201,198562
10201,130967
10201,150423
10201,166635
10201,97695
10201,35951
10201,77847
10201,31384
10201,118500
10201,123259
10201,134808
10201,160162
10201,178630
34223,201660
34223,31895
34223,135229
34223,83222
34223,46694
34223,58731
34223,98254
34223,115471
34223,17133
34223,132599
34223,41778
34223,61855
34223,126596
34223,157124
34223,17345
34223,181085
34223,192836
34223,31060
34223,128161
34223,32563
153460,180910
153460,108380
153460,116693
153460,91334
153460,55961
153460,186954
153460,22482
153460,154994
153460,38097
153460,125796
153460,86735
153460,9062
153460,103057
153460,176531
189056,62470
189056,81196
189056,114504
189056,142618
189056,139923
189056,18713
189056,1026
189056,176282
189056,114315
189056,114050
189056,179014
189056,138772
189056,181952
193827,28446
193827,79941
193827,199322
193827,9541
193827,35241
193827,110446
193827,159948
193827,8656
193827,16932
193827,162595
193827,111232
193827,71559
193827,157185
193827,151939
193827,164286
193827,4778
193827,16793
193827,172794
193827,97822
193827,131004
42139,104623
42139,179326
42139,127297
42139,89029
42139,149286
42139,80950
42139,181546
42139,102394
42139,198049
42139,16760
42139,105261
42139,144008
42139,13482
42139,134386
42139,184518
42139,204998
42139,46826
42139,12698
42139,170809
42139,174524
68775,180239
68775,165210
68775,77756
68775,92300
68775,128095
68775,132928
68775,98152
68775,200682
68775,16103
68775,134779
68775,119649
68775,122398
68775,132442
68775,166039
68775,68729
68775,55129
68775,163040
68775,171259
68775,22867
68775,106634
140297,155238
140297,88462
140297,188746
140297,183990
140297,115425
140297,181660
140297,85972
140297,71076
140297,156622
140297,83605
140297,118926
140297,202177
140297,23627
140297,64801
195798,150439
195798,44463
195798,203260
195798,81720
195798,128971
195798,71167
195798,67122
195798,20470
195798,190648
195798,78918
195798,29283
195798,121791
195798,10460
195798,137834
195798,134970
195798,32693
195798,200061
195798,186680
195798,52886
195798,183079
119449,204929
119449,36205
119449,110229
119449,90352
119449,65603
119449,47032
119449,143205
119449,91927
119449,18369
119449,20054
119449,140744
119449,180021
119449,126011
119449,184502
119449,7132
119449,63972
119449,110588
119449,187699
119449,16786
119449,19263
114027,193155
114027,79274
114027,67787
114027,93807
114027,33926
114027,139992
114027,158827
114027,60024
114027,185185
114027,28734
114027,142108
114027,32142
114027,153694
114027,105135
114027,62336
114027,92533
114027,155169
114027,36985
114027,151772
114027,165659
22336,168872
22336,73586
22336,73058
22336,144309
22336,6018
22336,60178
22336,173293
22336,142067
22336,75147
22336,69357
22336,149814
22336,108849
19701,100614
19701,126951
19701,175432
19701,30821
19701,37597
19701,49114
19701,122958
19701,171853
19701,96970
19701,148523
19701,173440
19701,16333
19701,21042
19701,195537
19701,42867
19701,47392
19701,59038
19701,141876
19701,114686
19701,21496
